ma_mon_hoc,ma_lop,ma_giang_vien,ngay_thi,ca_thi,phong_thi,hinh_thuc_thi,gk_ck
IT004,IT004.Q110,,2026-01-07,2,B1.20,,CK
IT004,IT004.Q110,,2026-01-07,2,B1.22,,CK
IT004,IT004.Q111,,2026-01-07,2,B7.04,,CK
IT004,IT004.Q111,,2026-01-07,2,B7.06,,CK
IT004,IT004.Q112,,2026-01-07,2,B1.16,,CK
IT004,IT004.Q112,,2026-01-07,2,B1.18,,CK
IT004,IT004.Q113,,2026-01-07,2,B6.04,,CK
IT004,IT004.Q113,,2026-01-07,2,B4.20,,CK
IT004,IT004.Q114,,2026-01-07,2,B6.12,,CK
IT004,IT004.Q115,,2026-01-07,2,B4.10,,CK
IT004,IT004.Q115,,2026-01-07,2,B6.06,,CK
IT004,IT004.Q116,,2026-01-07,2,B5.14,,CK
IT004,IT004.Q117,,2026-01-07,2,B4.12,,CK
IT004,IT004.Q117,,2026-01-07,2,B1.14,,CK
IT004,IT004.Q118,,2026-01-07,2,B6.02,,CK
IT004,IT004.Q118,,2026-01-07,2,B4.22,,CK
IT004,IT004.Q12,,2026-01-07,2,B3.16,,CK
IT004,IT004.Q12,,2026-01-07,2,B3.18,,CK
IT004,IT004.Q12.CNVN,,2026-01-07,2,C102,,CK
IT004,IT004.Q12.CNVN,,2026-01-07,2,C202,,CK
IT004,IT004.Q13,,2026-01-07,2,B5.10,,CK
IT004,IT004.Q13,,2026-01-07,2,B5.12,,CK
IT004,IT004.Q14,,2026-01-07,2,B6.08,,CK
IT004,IT004.Q14,,2026-01-07,2,B6.10,,CK
IT004,IT004.Q15,,2026-01-07,2,B7.02,,CK
IT004,IT004.Q16,,2026-01-07,2,B1.10,,CK
IT004,IT004.Q16,,2026-01-07,2,B3.14,,CK
IT004,IT004.Q17,,2026-01-07,2,B1.12,,CK
IT004,IT004.Q17,,2026-01-07,2,B4.14,,CK
IT004,IT004.Q18,,2026-01-07,2,B4.16,,CK
IT004,IT004.Q18,,2026-01-07,2,B4.18,,CK
IT004,IT004.Q19,,2026-01-07,2,B3.20,,CK
IT004,IT004.Q19,,2026-01-07,2,B3.22,,CK
CS4323,CS4323.Q11.CTTT,,2026-01-07,3,B1.20,,CK
CS4323,CS4323.Q12.CTTT,,2026-01-07,3,B1.22,,CK
EC229,EC229.Q11,,2026-01-08,1,B1.22,,CK
IS217,IS217.Q11,,2026-01-08,1,B3.14,,CK
IS217,IS217.Q12,,2026-01-08,1,B1.16,,CK
IS217,IS217.Q12,,2026-01-08,1,B1.18,,CK
IS217,IS217.Q13,,2026-01-08,1,B3.16,,CK
IS217,IS217.Q13,,2026-01-08,1,B3.18,,CK
IS217,IS217.Q14,,2026-01-08,1,B3.20,,CK
IEM5723,IEM5723.Q11.CTTT,,2026-01-09,1,B1.16,,CK
IEM5723,IEM5723.Q12.CTTT,,2026-01-09,1,B1.18,,CK
MSIS5723,MSIS5723.Q11.CTTT,,2026-01-09,1,B1.20,,CK
MSIS5723,MSIS5723.Q12.CTTT,,2026-01-09,1,B1.22,,CK
EC403,EC403.Q11,,2026-01-12,1,B1.02,,CK
IS005,IS005.Q11.CTTT,,2026-01-12,1,B3.10,,CK
IS005,IS005.Q11.CTTT,,2026-01-12,1,B3.12,,CK
IS254,IS254.Q11,,2026-01-12,1,B1.10,,CK
IS403,IS403.Q11,,2026-01-12,1,B1.14,,CK
IS403,IS403.Q12,,2026-01-12,1,B3.14,,CK
IS403,IS403.Q13,,2026-01-12,1,B1.16,,CK
IS403,IS403.Q13,,2026-01-12,1,B1.18,,CK
CS4243,CS4243.Q11.CTTT,,2026-01-13,1,B1.18,,CK
CS4243,CS4243.Q12.CTTT,,2026-01-13,1,B1.20,,CK
EC331,EC331.Q12,,2026-01-13,3,B4.14,,CK
STAT4033,STAT4033.Q11.CTTT,,2026-01-13,3,B1.10,,CK
STAT3013,STAT3013.Q11.CTTT,,2026-01-14,1,B1.20,,CK
STAT3013,STAT3013.Q12.CTTT,,2026-01-14,1,B1.22,,CK
IS335,IS335.Q11,,2026-01-15,1,B1.22,,CK
MSIS4133,MSIS4133.Q11.CTTT,,2026-01-15,1,B1.20,,CK
MSIS4133,MSIS4133.Q12.CTTT,,2026-01-15,1,B1.18,,CK
CS5433,CS5433.Q11.CTTT,,2026-01-15,3,B1.16,,CK
CS5433,CS5433.Q12.CTTT,,2026-01-15,3,B1.18,,CK
IS207,IS207.Q11,,2026-01-15,3,B4.14,,CK
IS207,IS207.Q12,,2026-01-15,3,B3.14,,CK
IS207,IS207.Q13,,2026-01-15,3,B4.20,,CK
IS207,IS207.Q13,,2026-01-15,3,B4.18,,CK
IS349,IS349.Q11,,2026-01-15,3,B1.02,,CK
MATH2154,MATH2154.Q11.CTTT,,2026-01-15,3,B1.20,,CK
MATH2154,MATH2154.Q11.CTTT,,2026-01-15,3,B1.22,,CK
EC402,EC402.Q11,,2026-01-16,1,B3.18,,CK
IS402,IS402.Q11,,2026-01-16,1,B3.20,,CK
IS402,IS402.Q11,,2026-01-16,1,B3.22,,CK
SPCH2713,SPCH2713.Q11.CTTT,,2026-01-16,1,B1.20,,CK
SPCH2713,SPCH2713.Q12.CTTT,,2026-01-16,1,B1.22,,CK
IS005,IS005.Q11,,2026-01-16,3,B3.10,,CK
IS005,IS005.Q11,,2026-01-16,3,B3.12,,CK
IS005,IS005.Q11,,2026-01-16,3,B3.16,,CK
IS005,IS005.Q12,,2026-01-16,3,B4.20,,CK
IS005,IS005.Q12,,2026-01-16,3,B4.22,,CK
IS005,IS005.Q12,,2026-01-16,3,B5.10,,CK
IS334,IS334.Q11,,2026-01-16,3,B6.06,,CK
IS334,IS334.Q12,,2026-01-16,3,B4.16,,CK
IS334,IS334.Q12,,2026-01-16,3,B4.18,,CK
IS334,IS334.Q13,,2026-01-16,3,B4.14,,CK
IS334,IS334.Q14,,2026-01-16,3,B3.14,,CK
IS355,IS355.Q11,,2026-01-16,3,B3.20,,CK
IS355,IS355.Q11,,2026-01-16,3,B3.22,,CK
MKTG4223,MKTG4223.Q11.CTTT,,2026-01-16,3,B1.20,,CK
MKTG4223,MKTG4223.Q12.CTTT,,2026-01-16,3,B1.22,,CK
SPCH3723,SPCH3723.Q11.CTTT,,2026-01-19,1,B1.20,,CK
SPCH3723,SPCH3723.Q12.CTTT,,2026-01-19,1,B1.22,,CK
CS4343,CS4343.Q11.CTTT,,2026-01-20,1,B3.14,,CK
EC101,EC101.Q11,,2026-01-20,1,B3.20,,CK
EC337,EC337.Q11,,2026-01-20,1,B1.14,,CK
EC337,EC337.Q12,,2026-01-20,1,B4.14,,CK
CS2134,CS2134.Q11.CTTT,,2026-01-20,3,B3.20,,CK
CS2134,CS2134.Q12.CTTT,,2026-01-20,3,B3.22,,CK
EC005,EC005.Q11,,2026-01-20,3,B1.14,,CK
EC005,EC005.Q12,,2026-01-20,3,B4.14,,CK
IS336,IS336.Q11,,2026-01-20,3,B1.16,,CK
IS336,IS336.Q11,,2026-01-20,3,B1.18,,CK
IS336,IS336.Q12,,2026-01-20,3,B3.16,,CK
